--roles (node ID role ID)--

0	1
1	2
2	1
3	1
4	1
5	0
6	1
7	1
8	1
9	1
10	1
11	1
12	1
13	0
14	1
15	1
16	1
17	1
18	1
19	1
20	1
21	1
22	1
23	1
24	1
25	1
26	1
27	0
28	1
29	1
30	1
31	1
32	1
33	1
34	1
35	1
36	1
37	1
38	1
39	1
40	1
41	1
42	1
43	1
44	1
45	0
46	2
47	1
48	1
49	1
50	1
51	1
52	1
53	2
54	2
55	0
56	2
57	1
58	1
59	1
60	1
61	1
62	1
63	1
64	1
65	1
66	1
67	1
68	1
69	1
70	1
74	2
75	2
86	2
93	2
106	2
136	2
140	2
144	0
145	0
151	0
188	2
195	2
88	2
118	0
81	2
82	2
184	0
78	2
115	2
128	2
102	2
112	2
133	0
189	1
72	0
76	2
83	2
95	0
107	2
109	2
91	0
114	2
80	2
89	2
90	0
79	0
85	0
87	0
101	0
108	0
113	0
119	0
121	0
127	0
138	0
143	2
154	0
155	2
164	0
165	0
169	0
186	2
193	0
73	2
77	1
84	0
92	0
94	1
96	0
97	0
98	1
99	1
100	1
103	1
104	1
105	1
110	1
111	0
116	0
117	1
120	0
122	0
123	1
124	1
125	1
126	1
129	1
130	1
131	0
132	0
134	0
135	1
137	1
139	1
141	1
142	1
146	0
147	0
148	1
149	0
150	1
152	1
153	1
156	0
157	1
158	1
159	1
160	0
161	1
162	1
163	1
166	0
167	1
168	0
170	1
172	2
174	0
175	2
180	0
185	0
192	0
194	0
71	1
173	0
178	1
183	0
198	0
176	1
177	0
182	1
187	0
171	0
179	1
181	1
190	1
191	1
196	1
197	0
199	1
